Country,Year,Industry,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Top AI Tools Used,Regulation Status,Consumer Trust in AI (%),Market Share of AI Companies (%),AI Impact Description,yearly_change_%,is_growing_trend,impact_summary,text_profile
USA,2025,Gaming,29.49,33.14,13.89,4.19,46.4,Bard,Strict,53.68,43.36,No description available.,4.315528829147497,False,"Industry: Gaming, Year: 2025, AI Adoption Rate: 29.49%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 29.49%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 4.315528829147497% change. The trend is currently declining."
China,2025,Gaming,70.04,66.6,29.79,23.17,58.46,Bard,Moderate,41.08,8.39,No description available.,137.50423872499152,False,"Industry: Gaming, Year: 2025, AI Adoption Rate: 70.04%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 70.04%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 137.50423872499152% change. The trend is currently declining."
South Korea,2025,Gaming,81.86,35.53,28.46,7.11,63.48,ChatGPT,Moderate,31.33,11.61,No description available.,16.87607081667617,True,"Industry: Gaming, Year: 2025, AI Adoption Rate: 81.86%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 81.86%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 16.87607081667617% change. The trend is currently growing."
Australia,2020,Healthcare,21.02,20.5,5.47,79.55,53.09,ChatGPT,Strict,44.82,13.25,No description available.,,False,"Industry: Healthcare, Year: 2020, AI Adoption Rate: 21.02%, Description: No description available.","In 2020, within the Healthcare sector, the AI usage reached 21.02%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
Canada,2020,Healthcare,68.24,36.33,22.77,24.34,40.04,ChatGPT,Lenient,45.16,15.34,No description available.,224.64319695528067,False,"Industry: Healthcare, Year: 2020, AI Adoption Rate: 68.24%, Description: No description available.","In 2020, within the Healthcare sector, the AI usage reached 68.24%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 224.64319695528067% change. The trend is currently declining."
South Korea,2020,Healthcare,10.53,20.97,23.64,34.27,45.67,Stable Diffusion,Moderate,58.52,33.37,No description available.,-84.56916764361078,False,"Industry: Healthcare, Year: 2020, AI Adoption Rate: 10.53%, Description: No description available.","In 2020, within the Healthcare sector, the AI usage reached 10.53%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -84.56916764361078% change. The trend is currently declining."
South Korea,2021,Healthcare,67.97,38.18,21.57,17.6,20.43,Midjourney,Moderate,46.5,20.88,No description available.,545.4890788224122,False,"Industry: Healthcare, Year: 2021, AI Adoption Rate: 67.97%, Description: No description available.","In 2021, within the Healthcare sector, the AI usage reached 67.97%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 545.4890788224122% change. The trend is currently declining."
South Korea,2021,Healthcare,53.76,94.77,4.08,31.27,32.23,Bard,Lenient,51.34,1.18,No description available.,-20.906282183316172,False,"Industry: Healthcare, Year: 2021, AI Adoption Rate: 53.76%, Description: No description available.","In 2021, within the Healthcare sector, the AI usage reached 53.76%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -20.906282183316172% change. The trend is currently declining."
Japan,2022,Healthcare,62.98,24.98,27.51,27.51,53.78,Midjourney,Strict,55.93,30.55,No description available.,17.150297619047628,False,"Industry: Healthcare, Year: 2022, AI Adoption Rate: 62.98%, Description: No description available.","In 2022, within the Healthcare sector, the AI usage reached 62.98%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 17.150297619047628% change. The trend is currently declining."
Canada,2022,Healthcare,52.43,90.69,37.9,9.78,67.03,DALL-E,Strict,63.92,47.98,No description available.,-16.75134963480469,False,"Industry: Healthcare, Year: 2022, AI Adoption Rate: 52.43%, Description: No description available.","In 2022, within the Healthcare sector, the AI usage reached 52.43%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -16.75134963480469% change. The trend is currently declining."
Japan,2022,Healthcare,46.79,80.92,15.36,49.09,37.15,Stable Diffusion,Strict,33.05,32.61,No description available.,-10.757200076292195,False,"Industry: Healthcare, Year: 2022, AI Adoption Rate: 46.79%, Description: No description available.","In 2022, within the Healthcare sector, the AI usage reached 46.79%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -10.757200076292195% change. The trend is currently declining."
Germany,2023,Healthcare,88.75,30.56,31.35,60.23,46.53,ChatGPT,Moderate,70.19,30.79,No description available.,89.67728147039966,False,"Industry: Healthcare, Year: 2023, AI Adoption Rate: 88.75%, Description: No description available.","In 2023, within the Healthcare sector, the AI usage reached 88.75%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 89.67728147039966% change. The trend is currently declining."
China,2023,Healthcare,80.75,60.93,32.2,14.67,61.33,Claude,Moderate,83.72,32.54,No description available.,-9.014084507042252,False,"Industry: Healthcare, Year: 2023, AI Adoption Rate: 80.75%, Description: No description available.","In 2023, within the Healthcare sector, the AI usage reached 80.75%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -9.014084507042252% change. The trend is currently declining."
Germany,2024,Healthcare,17.05,52.86,46.37,70.85,79.54,Claude,Strict,83.17,45.6,No description available.,-78.88544891640868,False,"Industry: Healthcare, Year: 2024, AI Adoption Rate: 17.05%, Description: No description available.","In 2024, within the Healthcare sector, the AI usage reached 17.05%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -78.88544891640868% change. The trend is currently declining."
India,2024,Healthcare,59.85,61.0,41.04,77.48,28.32,Midjourney,Moderate,70.17,30.75,No description available.,251.02639296187684,False,"Industry: Healthcare, Year: 2024, AI Adoption Rate: 59.85%, Description: No description available.","In 2024, within the Healthcare sector, the AI usage reached 59.85%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 251.02639296187684% change. The trend is currently declining."
France,2024,Healthcare,77.33,51.28,23.6,23.16,84.93,ChatGPT,Strict,85.01,24.33,No description available.,29.20634920634919,False,"Industry: Healthcare, Year: 2024, AI Adoption Rate: 77.33%, Description: No description available.","In 2024, within the Healthcare sector, the AI usage reached 77.33%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 29.20634920634919% change. The trend is currently declining."
China,2025,Healthcare,25.5,18.74,15.07,40.81,64.86,Stable Diffusion,Moderate,51.07,39.97,No description available.,-67.02444070865124,False,"Industry: Healthcare, Year: 2025, AI Adoption Rate: 25.5%, Description: No description available.","In 2025, within the Healthcare sector, the AI usage reached 25.5%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -67.02444070865124% change. The trend is currently declining."
South Korea,2025,Healthcare,44.1,87.85,39.96,33.44,72.72,Midjourney,Lenient,76.74,40.98,No description available.,72.94117647058825,False,"Industry: Healthcare, Year: 2025, AI Adoption Rate: 44.1%, Description: No description available.","In 2025, within the Healthcare sector, the AI usage reached 44.1%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 72.94117647058825% change. The trend is currently declining."
UK,2025,Healthcare,83.85,7.0,22.88,59.43,66.73,Synthesia,Lenient,43.37,21.52,No description available.,90.13605442176869,False,"Industry: Healthcare, Year: 2025, AI Adoption Rate: 83.85%, Description: No description available.","In 2025, within the Healthcare sector, the AI usage reached 83.85%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 90.13605442176869% change. The trend is currently declining."
South Korea,2025,Healthcare,86.58,20.96,24.08,2.49,84.48,Claude,Strict,60.05,42.29,No description available.,3.2558139534883734,True,"Industry: Healthcare, Year: 2025, AI Adoption Rate: 86.58%, Description: No description available.","In 2025, within the Healthcare sector, the AI usage reached 86.58%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 3.2558139534883734% change. The trend is currently growing."
UK,2020,Legal,50.34,50.7,1.04,0.58,68.07,Synthesia,Strict,37.36,28.87,No description available.,,False,"Industry: Legal, Year: 2020, AI Adoption Rate: 50.34%, Description: No description available.","In 2020, within the Legal sector, the AI usage reached 50.34%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
France,2020,Legal,64.43,41.41,38.39,19.26,88.29,DALL-E,Strict,45.13,6.24,No description available.,27.989670242352016,False,"Industry: Legal, Year: 2020, AI Adoption Rate: 64.43%, Description: No description available.","In 2020, within the Legal sector, the AI usage reached 64.43%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 27.989670242352016% change. The trend is currently declining."
Canada,2020,Legal,39.94,57.79,46.08,44.31,38.14,Midjourney,Strict,46.49,37.29,No description available.,-38.01024367530654,False,"Industry: Legal, Year: 2020, AI Adoption Rate: 39.94%, Description: No description available.","In 2020, within the Legal sector, the AI usage reached 39.94%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -38.01024367530654% change. The trend is currently declining."
France,2021,Legal,85.24,93.76,27.7,78.24,29.45,Claude,Moderate,51.84,1.93,No description available.,113.42013019529293,False,"Industry: Legal, Year: 2021, AI Adoption Rate: 85.24%, Description: No description available.","In 2021, within the Legal sector, the AI usage reached 85.24%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 113.42013019529293% change. The trend is currently declining."
France,2021,Legal,25.62,86.47,47.64,71.1,36.22,Bard,Lenient,63.66,29.92,No description available.,-69.94368840919756,False,"Industry: Legal, Year: 2021, AI Adoption Rate: 25.62%, Description: No description available.","In 2021, within the Legal sector, the AI usage reached 25.62%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -69.94368840919756% change. The trend is currently declining."
Japan,2022,Legal,57.35,94.06,37.36,17.2,20.37,Midjourney,Moderate,88.69,7.53,No description available.,123.84855581576892,False,"Industry: Legal, Year: 2022, AI Adoption Rate: 57.35%, Description: No description available.","In 2022, within the Legal sector, the AI usage reached 57.35%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 123.84855581576892% change. The trend is currently declining."
Canada,2022,Legal,27.53,95.29,29.08,13.91,52.29,Synthesia,Lenient,70.43,9.06,No description available.,-51.99651264167393,False,"Industry: Legal, Year: 2022, AI Adoption Rate: 27.53%, Description: No description available.","In 2022, within the Legal sector, the AI usage reached 27.53%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -51.99651264167393% change. The trend is currently declining."
China,2023,Legal,66.93,6.59,3.23,0.85,71.52,Midjourney,Strict,43.34,5.41,No description available.,143.11660007264803,False,"Industry: Legal, Year: 2023, AI Adoption Rate: 66.93%, Description: No description available.","In 2023, within the Legal sector, the AI usage reached 66.93%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 143.11660007264803% change. The trend is currently declining."
South Korea,2023,Legal,75.42,24.03,28.82,42.27,54.72,Stable Diffusion,Lenient,74.85,11.26,No description available.,12.684894666069013,False,"Industry: Legal, Year: 2023, AI Adoption Rate: 75.42%, Description: No description available.","In 2023, within the Legal sector, the AI usage reached 75.42%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 12.684894666069013% change. The trend is currently declining."
France,2023,Legal,48.39,57.31,1.2,17.95,61.69,Bard,Lenient,66.25,44.4,No description available.,-35.83929992044551,False,"Industry: Legal, Year: 2023, AI Adoption Rate: 48.39%, Description: No description available.","In 2023, within the Legal sector, the AI usage reached 48.39%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -35.83929992044551% change. The trend is currently declining."
Japan,2024,Legal,67.94,96.81,8.84,51.06,23.04,Stable Diffusion,Lenient,33.16,7.6,No description available.,40.400909278776595,False,"Industry: Legal, Year: 2024, AI Adoption Rate: 67.94%, Description: No description available.","In 2024, within the Legal sector, the AI usage reached 67.94%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 40.400909278776595% change. The trend is currently declining."
South Korea,2024,Legal,57.15,92.02,29.64,73.89,81.93,DALL-E,Moderate,60.67,37.77,No description available.,-15.88166028848984,False,"Industry: Legal, Year: 2024, AI Adoption Rate: 57.15%, Description: No description available.","In 2024, within the Legal sector, the AI usage reached 57.15%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -15.88166028848984% change. The trend is currently declining."
China,2025,Legal,34.75,66.74,46.89,52.46,26.17,DALL-E,Strict,35.67,35.02,No description available.,-39.19510061242345,False,"Industry: Legal, Year: 2025, AI Adoption Rate: 34.75%, Description: No description available.","In 2025, within the Legal sector, the AI usage reached 34.75%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -39.19510061242345% change. The trend is currently declining."
China,2025,Legal,87.73,44.74,42.89,78.5,39.34,DALL-E,Strict,78.54,32.72,No description available.,152.46043165467626,False,"Industry: Legal, Year: 2025, AI Adoption Rate: 87.73%, Description: No description available.","In 2025, within the Legal sector, the AI usage reached 87.73%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 152.46043165467626% change. The trend is currently declining."
Canada,2025,Legal,82.25,6.81,30.99,76.88,57.0,DALL-E,Lenient,33.48,27.13,No description available.,-6.246437934571992,False,"Industry: Legal, Year: 2025, AI Adoption Rate: 82.25%, Description: No description available.","In 2025, within the Legal sector, the AI usage reached 82.25%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -6.246437934571992% change. The trend is currently declining."
South Korea,2025,Legal,52.86,10.91,17.3,57.82,45.95,Bard,Lenient,79.04,4.09,No description available.,-35.73252279635258,False,"Industry: Legal, Year: 2025, AI Adoption Rate: 52.86%, Description: No description available.","In 2025, within the Legal sector, the AI usage reached 52.86%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -35.73252279635258% change. The trend is currently declining."
India,2025,Legal,29.45,92.91,42.89,14.73,68.45,Synthesia,Moderate,73.82,17.82,No description available.,-44.28679530836172,False,"Industry: Legal, Year: 2025, AI Adoption Rate: 29.45%, Description: No description available.","In 2025, within the Legal sector, the AI usage reached 29.45%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -44.28679530836172% change. The trend is currently declining."
France,2020,Manufacturing,93.16,50.91,36.57,35.31,78.29,ChatGPT,Lenient,65.04,9.04,No description available.,,False,"Industry: Manufacturing, Year: 2020, AI Adoption Rate: 93.16%, Description: No description available.","In 2020, within the Manufacturing sector, the AI usage reached 93.16%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
China,2020,Manufacturing,45.27,82.47,12.07,57.15,57.03,Midjourney,Strict,42.57,39.35,No description available.,-51.406182911120645,False,"Industry: Manufacturing, Year: 2020, AI Adoption Rate: 45.27%, Description: No description available.","In 2020, within the Manufacturing sector, the AI usage reached 45.27%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -51.406182911120645% change. The trend is currently declining."
China,2020,Manufacturing,72.88,1.55,47.77,76.86,55.78,Midjourney,Moderate,57.09,12.1,No description available.,60.989617848464746,False,"Industry: Manufacturing, Year: 2020, AI Adoption Rate: 72.88%, Description: No description available.","In 2020, within the Manufacturing sector, the AI usage reached 72.88%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 60.989617848464746% change. The trend is currently declining."
Germany,2020,Manufacturing,20.23,68.16,49.16,38.34,24.65,Bard,Lenient,58.54,1.63,No description available.,-72.24204171240395,False,"Industry: Manufacturing, Year: 2020, AI Adoption Rate: 20.23%, Description: No description available.","In 2020, within the Manufacturing sector, the AI usage reached 20.23%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -72.24204171240395% change. The trend is currently declining."
China,2020,Manufacturing,93.49,16.96,20.47,26.27,83.71,ChatGPT,Moderate,70.17,45.17,No description available.,362.13544241225895,False,"Industry: Manufacturing, Year: 2020, AI Adoption Rate: 93.49%, Description: No description available.","In 2020, within the Manufacturing sector, the AI usage reached 93.49%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 362.13544241225895% change. The trend is currently declining."
Germany,2020,Manufacturing,21.63,36.58,42.05,61.25,53.0,Synthesia,Moderate,57.27,22.23,No description available.,-76.8638357043534,False,"Industry: Manufacturing, Year: 2020, AI Adoption Rate: 21.63%, Description: No description available.","In 2020, within the Manufacturing sector, the AI usage reached 21.63%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -76.8638357043534% change. The trend is currently declining."
USA,2021,Manufacturing,83.4,66.33,24.27,34.95,47.21,Claude,Moderate,47.81,47.4,No description available.,285.57558945908465,False,"Industry: Manufacturing, Year: 2021, AI Adoption Rate: 83.4%, Description: No description available.","In 2021, within the Manufacturing sector, the AI usage reached 83.4%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 285.57558945908465% change. The trend is currently declining."
Germany,2021,Manufacturing,20.25,99.06,3.81,6.61,80.08,DALL-E,Moderate,80.65,5.5,No description available.,-75.71942446043165,False,"Industry: Manufacturing, Year: 2021, AI Adoption Rate: 20.25%, Description: No description available.","In 2021, within the Manufacturing sector, the AI usage reached 20.25%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -75.71942446043165% change. The trend is currently declining."
Canada,2021,Manufacturing,49.72,73.6,44.52,66.78,73.26,Midjourney,Lenient,89.07,20.52,No description available.,145.53086419753086,False,"Industry: Manufacturing, Year: 2021, AI Adoption Rate: 49.72%, Description: No description available.","In 2021, within the Manufacturing sector, the AI usage reached 49.72%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 145.53086419753086% change. The trend is currently declining."
India,2021,Manufacturing,45.37,48.59,47.42,40.66,80.62,Bard,Moderate,74.96,47.48,No description available.,-8.748994368463404,False,"Industry: Manufacturing, Year: 2021, AI Adoption Rate: 45.37%, Description: No description available.","In 2021, within the Manufacturing sector, the AI usage reached 45.37%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -8.748994368463404% change. The trend is currently declining."
USA,2022,Manufacturing,44.61,26.16,49.34,58.53,75.29,Stable Diffusion,Moderate,32.96,43.24,No description available.,-1.6751157152303242,False,"Industry: Manufacturing, Year: 2022, AI Adoption Rate: 44.61%, Description: No description available.","In 2022, within the Manufacturing sector, the AI usage reached 44.61%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -1.6751157152303242% change. The trend is currently declining."
Japan,2022,Manufacturing,41.28,22.14,10.33,6.67,40.15,Claude,Lenient,61.31,33.26,No description available.,-7.4646940147948815,False,"Industry: Manufacturing, Year: 2022, AI Adoption Rate: 41.28%, Description: No description available.","In 2022, within the Manufacturing sector, the AI usage reached 41.28%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -7.4646940147948815% change. The trend is currently declining."
Japan,2022,Manufacturing,28.6,49.95,40.02,32.2,22.45,Claude,Moderate,51.58,29.9,No description available.,-30.717054263565892,False,"Industry: Manufacturing, Year: 2022, AI Adoption Rate: 28.6%, Description: No description available.","In 2022, within the Manufacturing sector, the AI usage reached 28.6%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -30.717054263565892% change. The trend is currently declining."
Japan,2023,Manufacturing,78.57,7.24,17.23,47.61,43.84,ChatGPT,Lenient,34.52,39.19,No description available.,174.72027972027968,False,"Industry: Manufacturing, Year: 2023, AI Adoption Rate: 78.57%, Description: No description available.","In 2023, within the Manufacturing sector, the AI usage reached 78.57%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 174.72027972027968% change. The trend is currently declining."
China,2024,Manufacturing,48.54,89.58,34.88,66.31,60.28,Midjourney,Moderate,30.52,24.81,No description available.,-38.22069492172585,False,"Industry: Manufacturing, Year: 2024, AI Adoption Rate: 48.54%, Description: No description available.","In 2024, within the Manufacturing sector, the AI usage reached 48.54%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -38.22069492172585% change. The trend is currently declining."
Japan,2024,Manufacturing,82.72,17.97,23.56,50.08,24.06,ChatGPT,Strict,77.96,5.46,No description available.,70.41615162752367,False,"Industry: Manufacturing, Year: 2024, AI Adoption Rate: 82.72%, Description: No description available.","In 2024, within the Manufacturing sector, the AI usage reached 82.72%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 70.41615162752367% change. The trend is currently declining."
UK,2025,Manufacturing,64.87,49.04,36.31,38.16,82.41,Synthesia,Lenient,78.14,20.54,No description available.,-21.578820116054153,False,"Industry: Manufacturing, Year: 2025, AI Adoption Rate: 64.87%, Description: No description available.","In 2025, within the Manufacturing sector, the AI usage reached 64.87%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -21.578820116054153% change. The trend is currently declining."
Japan,2025,Manufacturing,91.67,90.28,49.65,26.79,25.29,Stable Diffusion,Strict,38.75,20.54,No description available.,41.31339602281485,False,"Industry: Manufacturing, Year: 2025, AI Adoption Rate: 91.67%, Description: No description available.","In 2025, within the Manufacturing sector, the AI usage reached 91.67%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 41.31339602281485% change. The trend is currently declining."
France,2020,Marketing,71.0,77.53,17.41,12.56,31.57,Midjourney,Strict,56.93,38.36,No description available.,,False,"Industry: Marketing, Year: 2020, AI Adoption Rate: 71.0%, Description: No description available.","In 2020, within the Marketing sector, the AI usage reached 71.0%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
Canada,2020,Marketing,41.32,1.52,34.42,17.23,36.29,Midjourney,Lenient,70.43,37.79,No description available.,-41.80281690140845,False,"Industry: Marketing, Year: 2020, AI Adoption Rate: 41.32%, Description: No description available.","In 2020, within the Marketing sector, the AI usage reached 41.32%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -41.80281690140845% change. The trend is currently declining."
Australia,2020,Marketing,33.91,86.4,17.15,59.2,32.1,DALL-E,Lenient,76.05,37.53,No description available.,-17.93320425943854,False,"Industry: Marketing, Year: 2020, AI Adoption Rate: 33.91%, Description: No description available.","In 2020, within the Marketing sector, the AI usage reached 33.91%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -17.93320425943854% change. The trend is currently declining."
Germany,2021,Marketing,81.18,3.56,33.94,68.33,76.84,Claude,Lenient,41.73,39.04,No description available.,139.39840754939553,False,"Industry: Marketing, Year: 2021, AI Adoption Rate: 81.18%, Description: No description available.","In 2021, within the Marketing sector, the AI usage reached 81.18%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 139.39840754939553% change. The trend is currently declining."
South Korea,2021,Marketing,44.99,7.7,18.15,52.91,80.25,ChatGPT,Moderate,32.02,48.91,No description available.,-44.579945799457995,False,"Industry: Marketing, Year: 2021, AI Adoption Rate: 44.99%, Description: No description available.","In 2021, within the Marketing sector, the AI usage reached 44.99%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -44.579945799457995% change. The trend is currently declining."
USA,2021,Marketing,56.81,56.52,15.98,69.17,51.21,Midjourney,Lenient,54.41,20.22,No description available.,26.272505001111355,False,"Industry: Marketing, Year: 2021, AI Adoption Rate: 56.81%, Description: No description available.","In 2021, within the Marketing sector, the AI usage reached 56.81%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 26.272505001111355% change. The trend is currently declining."
UK,2022,Marketing,73.89,16.63,47.25,68.91,60.15,ChatGPT,Strict,34.4,27.19,No description available.,30.06512937863053,False,"Industry: Marketing, Year: 2022, AI Adoption Rate: 73.89%, Description: No description available.","In 2022, within the Marketing sector, the AI usage reached 73.89%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 30.06512937863053% change. The trend is currently declining."
Japan,2023,Marketing,12.86,5.08,18.5,20.65,75.67,DALL-E,Lenient,38.35,5.25,No description available.,-82.595750439843,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 12.86%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 12.86%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -82.595750439843% change. The trend is currently declining."
South Korea,2023,Marketing,74.81,54.67,22.3,52.34,84.8,Stable Diffusion,Lenient,42.06,11.7,No description available.,481.72628304821154,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 74.81%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 74.81%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 481.72628304821154% change. The trend is currently declining."
Germany,2023,Marketing,20.95,26.53,5.89,2.28,47.14,ChatGPT,Strict,82.45,44.86,No description available.,-71.99572249699237,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 20.95%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 20.95%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -71.99572249699237% change. The trend is currently declining."
Japan,2023,Marketing,72.59,51.37,40.3,3.84,72.92,Claude,Moderate,76.92,27.59,No description available.,246.491646778043,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 72.59%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 72.59%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 246.491646778043% change. The trend is currently declining."
Australia,2023,Marketing,18.43,7.44,2.75,12.96,54.31,ChatGPT,Moderate,73.34,6.21,No description available.,-74.61082793773247,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 18.43%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 18.43%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -74.61082793773247% change. The trend is currently declining."
France,2023,Marketing,65.77,49.83,39.94,79.44,43.73,Synthesia,Lenient,81.58,14.62,No description available.,256.8638090070537,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 65.77%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 65.77%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 256.8638090070537% change. The trend is currently declining."
India,2024,Marketing,55.3,67.76,3.21,11.15,48.72,Synthesia,Strict,58.79,45.09,No description available.,-15.919112057168917,False,"Industry: Marketing, Year: 2024, AI Adoption Rate: 55.3%, Description: No description available.","In 2024, within the Marketing sector, the AI usage reached 55.3%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -15.919112057168917% change. The trend is currently declining."
USA,2024,Marketing,32.0,44.26,0.09,40.67,32.98,Bard,Strict,60.99,22.31,No description available.,-42.13381555153707,False,"Industry: Marketing, Year: 2024, AI Adoption Rate: 32.0%, Description: No description available.","In 2024, within the Marketing sector, the AI usage reached 32.0%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -42.13381555153707% change. The trend is currently declining."
Japan,2024,Marketing,88.16,14.83,2.86,26.45,47.53,DALL-E,Moderate,59.28,20.74,No description available.,175.5,False,"Industry: Marketing, Year: 2024, AI Adoption Rate: 88.16%, Description: No description available.","In 2024, within the Marketing sector, the AI usage reached 88.16%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 175.5% change. The trend is currently declining."
France,2025,Marketing,62.94,7.49,22.4,71.69,63.54,Stable Diffusion,Lenient,44.26,41.99,No description available.,-28.6070780399274,False,"Industry: Marketing, Year: 2025, AI Adoption Rate: 62.94%, Description: No description available.","In 2025, within the Marketing sector, the AI usage reached 62.94%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -28.6070780399274% change. The trend is currently declining."
USA,2025,Marketing,45.3,42.81,3.03,24.96,78.13,Bard,Moderate,66.28,10.51,No description available.,-28.026692087702575,False,"Industry: Marketing, Year: 2025, AI Adoption Rate: 45.3%, Description: No description available.","In 2025, within the Marketing sector, the AI usage reached 45.3%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -28.026692087702575% change. The trend is currently declining."
